Tweet_ID,Created_Date,Text,Likes,Retweets,Elapsed (Hours),Like Score,Retweet Score
1408435177580220434,2021-06-25 14:41:28+05:30,"@DMSundargarh @MoSarkar5T Thank you for your acknowledgment @DMSundargarh sir. #ICICIBank stands hand in hand with the citizens, especially during this challenging time, through initiatives that go beyond business.",1,0,148.39632437027777,0.006738711381454469,0.0
1408435131514187776,2021-06-25 14:41:17+05:30,"Thank you for your acknowledgment @DMSundargarh sir. #ICICIBank stands hand in hand with the citizens, especially during this challenging time, through initiatives that go beyond business. https://t.co/O2oSKKtlnC",17,3,148.39937992583333,0.11455573472406837,0.020215717892482655
1408432291723026437,2021-06-25 14:30:00+05:30,"You can use #ICICIBank iMobile Pay app, Internet Banking, ATM or InstaBIZ app to place a request for a new cheque book in a swift and seamless manner. 

More here: https://t.co/slZhWfGhXo  

#StaySafeBankSafe #BankFromHome https://t.co/vM2mADEHmE",11,2,148.5874354813889,0.07403048558152005,0.0134600882875491
1408415778282434560,2021-06-25 13:24:23+05:30,"Whether you want to purchase your favourite gadget or pay your insurance premium, ‘EMI @ Internet Banking’ allows you to choose EMI as an option during transactions. Experience the convenience with #ICICIBank now.

Know more here: https://t.co/k4HjiUVaiv https://t.co/6unUKF1ryf",1553,91,149.6810465925,10.375395117512596,0.6079594048252713
1408412560831905794,2021-06-25 13:11:36+05:30,"#ICICIBank extends its ‘Cardless EMI’ facility for online purchases made on e-commerce platforms. This hassle-free experience will enhance the affordability of millions of the Bank’s pre-approved customers.

Know more: https://t.co/q43kL7PIOr

#CardlessEMIForOnlineShopping https://t.co/r9pKHYcHjB",1300,105,149.89410214805554,8.672789531878616,0.7004945391132728
1408402094902681603,2021-06-25 12:30:00+05:30,"#ICICIBankMerchantStack offers merchants a comprehensive set of digital banking solutions on one single platform to help them bank seamlessly and continue serving their customers uninterruptedly. Read more here.
https://t.co/ckP1j5Q0mq",10,1,150.5874354813889,0.06640660270249374,0.006640660270249374
1408386992879009795,2021-06-25 11:30:00+05:30,"Manage all your mutual fund investments at your fingertips! Watch the video to know how to buy and manage mutual funds seamlessly on #iMobilePayByICICIBank.
https://t.co/XcFE8SXk4C https://t.co/y3dvjpw8TJ",14,1,151.5874354813889,0.09235593936622041,0.006596852811872886
1408355522181439488,2021-06-25 09:24:57+05:30,"Pockets by #ICICIBank is a one-of-a-kind initiative that allows users to make UPI transactions like money transfer, payment at merchant site, scan to pay, &amp; more using their ‘Pockets’ wallet balance.

Download: https://t.co/VavFKfvSLU

#UPIOnICICIPockets https://t.co/3JRZySO5WJ",728,50,153.67160214805554,4.737374959484091,0.32536915930522603
1408314326469910533,2021-06-25 06:41:15+05:30,"Sit back and relax, the #BankComesHome to make sure your business keeps moving ahead!  #ICICIBank #InstaBIZ is a hassle-free and convenient platform that will help address all your business banking needs in one place. Download here: https://t.co/ivrdUQZClw https://t.co/TVziaRnC9E",2977,209,156.3999354813889,19.034534706405005,1.336317686811772
1408266196558835715,2021-06-25 03:30:00+05:30,"No UPI or account details available? No problem! With #ICICIBank #iMobilePay, you can enjoy hassle-free payments simply by using the beneficiary’s mobile number. 

Download the app: https://t.co/8oiFFXOgD6  

#iMobilePayForAll https://t.co/Wj2tzALXvM",17,2,159.5874354813889,0.1065246768877525,0.012532314927970882
